nll-oracle,nll-test,EmbeddingSimilarity,
1,11.160532,7.7165356,-0.025650478129144613,
6,10.804034,7.201946,-0.026482731707978997,
11,10.67908,6.3153086,-0.027165270439881213,
16,10.558812,5.4089575,-0.026096589334830625,
21,10.46677,4.688479,-0.026236717990314715,
26,10.43505,4.1101894,-0.026413043303320574,
31,10.316418,3.688596,-0.026178135469300288,
36,10.273961,3.3165865,-0.026164550201905376,
41,10.225786,3.0656407,-0.02652466426733154,
46,10.10179,2.8314075,-0.025436190543628934,
51,10.102568,2.6398153,-0.02574629217156578,
56,10.0246725,2.4766212,-0.025437559565294997,
61,10.034672,2.3391094,-0.025659789618735242,
66,10.026912,2.231085,-0.025764577261562786,
71,9.9727745,2.1394823,-0.02579743823643203,
76,9.9310055,2.0362787,-0.025270354125312536,
